P_ID,COUNTRY
1,Soviet Union
2,Argentina
3,Taiwan
4,Iran
5,Vietnam
6,Republic of Macedonia
7,Federal Republic of Yugoslavia
8,Portugal
9,United Arab Emirates
10,Serbia
11,Kenya
12,Finland
13,Spain
14,Mexico
15,New Zealand
16,Philippines
17,Denmark
18,Indonesia
19,United Kingdom
20,Australia
21,Hong Kong
22,Greece
23,India
24,Jamaica
25,Aruba
26,Romania
27,Chile
28,South Africa
29,Hungary
30,Brazil
31,Yugoslavia
32,Germany
33,Thailand
34,Poland
35,Italy
36,France
37,Japan
38,Ireland
39,Austria
40,Iceland
41,United States
42,Canada
43,Libya
44,Sweden
45,South Korea
46,West Germany
47,Switzerland
48,Israel
49,China
50,Czech Republic
51,unknown
52,Turkey
53,Malta
54,Netherlands
55,Belgium
56,Russia
57,Norway
58,Colombia
59,Panama
60,Lebanon
